word,category
嬉,positive
うれし,positive
楽し,positive
たのし,positive
良か,positive
よかった,positive
勝,positive
かち,positive
ゲット,positive
出かけ,positive
おでかけ,positive
感謝,positive
かんしゃ,positive
ありがとう,positive
幸せ,positive
しあわせ,positive
満足,positive
まんぞく,positive
ラッキー,positive
らっきー,positive
素敵,positive
すてき,positive
可愛,positive
かわい,positive
ワクワク,positive
わくわく,positive
感動,positive
かんどう,positive
祝,positive
ハッピー,positive
はっぴー,positive
成功,positive
せいこう,positive
愛,positive
LOVE,positive
面白,positive
おもしろ,positive
最高,positive
さいこー,positive
良い,positive
歓迎,positive
かんげい,positive
祝福,positive
しゅくふく,positive
快適,positive
満喫,positive
まんきつ,positive
安心,positive
あんしん,positive
穏やか,positive
おだやか,positive
感激,positive
笑う,positive
わらう,positive
素晴,positive
嬉々,positive
尊敬,positive
そんけい,positive
充実,positive
楽勝,positive
らくしょう,positive
幸,positive
ポジティブ,positive
わーい,positive
神,positive
うれぽよ,positive
できた,positive
(/・ω・)/,positive
happy,positive
joy,positive
love,positive
smile,positive
peace,positive
success,positive
friend,positive
hope,positive
fun,positive
excited,positive
cheerful,positive
bright,positive
good,positive
great,positive
amazing,positive
fantastic,positive
awesome,positive
beautiful,positive
delight,positive
enjoy,positive
laugh,positive
kind,positive
brave,positive
strong,positive
creative,positive
optimistic,positive
friendly,positive
healthy,positive
relax,positive
calm,positive
grateful,positive
proud,positive
wonderful,positive
peaceful,positive
shiny,positive
successful,positive
courage,positive
energetic,positive
pleasant,positive
悲,negative
かなし,negative
疲,negative
つかれ,negative
だる,negative
負,negative
まけ,negative
やられ,negative
暑い,negative
暑か,negative
つらい,negative
寂,negative
さびし,negative
怖,negative
こわ,negative
嫌,negative
むかつ,negative
イライラ,negative
最悪,negative
さいあく,negative
痛,negative
不安,negative
苦,negative
落ち込,negative
おちこ,negative
失敗,negative
しっぱい,negative
泣,negative
悔,negative
迷惑,negative
めいわく,negative
残念,negative
ざんねん,negative
むねん,negative
失,negative
絶望,negative
ぜつぼう,negative
失望,negative
困惑,negative
イラッ,negative
いらっ,negative
うつ,negative
怒,negative
不満,negative
憂,negative
鬱,negative
落,negative
孤独,negative
こどく,negative
損,negative
憎,negative
鬱陶,negative
うっとう,negative
後悔,negative
虚しい,negative
憂い,negative
辛い,negative
失意,negative
悩み,negative
やば～～,negative
やばーー,negative
つら,negative
なんでや,negative
( ﾉД`),negative
(´；ω；`),negative
sad,negative
angry,negative
hate,negative
fear,negative
pain,negative
lonely,negative
bad,negative
ugly,negative
stress,negative
worried,negative
tired,negative
sick,negative
hurt,negative
upset,negative
frustrated,negative
annoyed,negative
disappointed,negative
guilty,negative
weak,negative
fail,negative
cry,negative
bored,negative
confused,negative
jealous,negative
anxious,negative
regret,negative
miserable,negative
depressed,negative
angst,negative
scared,negative
nervous,negative
hopeless,negative
tragic,negative
mistake,negative
shame,negative
unhappy,negative
panic,negative
dread,negative
frightened,negative